2017-06-27 07:32:19,879 | INFO  | Apache ActiveMQ 5.8.0 (broker-3, ID:ip-172-31-1-69-45145-1498548739706-0:1) started | org.apache.activemq.broker.BrokerService | main
2017-06-27 07:32:19,880 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2017-06-27 07:32:19,880 | WARN  | Store limit is 102400 mb, whilst the data directory: /home/ubuntu/apache-activemq-5.8.0/cluster/broker-3/data/kahadb only has 6426 mb of usable space | org.apache.activemq.broker.BrokerService | main
2017-06-27 07:32:19,880 | ERROR | Temporary Store limit is 51200 mb, whilst the temporary data directory: /home/ubuntu/apache-activemq-5.8.0/cluster/broker-3/data/broker-3/tmp_storage only has 6426 mb of usable space | org.apache.activemq.broker.BrokerService | main
2017-06-27 07:32:20,618 | INFO  | Web console type: embedded | org.apache.activemq.web.WebConsoleStarter | main
2017-06-27 07:32:20,842 | INFO  | ActiveMQ WebConsole initialized. | org.apache.activemq.web.WebConsoleStarter | main
2017-06-27 07:32:20,938 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2017-06-27 07:32:21,471 | INFO  | jolokia-agent: No access restrictor found at classpath:/jolokia-access.xml, access to all MBeans is allowed | /api | main
2017-06-27 07:41:56,405 | INFO  | Apache ActiveMQ 5.8.0 (broker-3, ID:ip-172-31-1-69-45145-1498548739706-0:1) is shutting down | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2017-06-27 07:41:56,481 | INFO  | Connector openwire Stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2017-06-27 07:41:58,481 | INFO  | Connector amqp Stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2017-06-27 07:41:58,484 | INFO  | PListStore:[/home/ubuntu/apache-activemq-5.8.0/cluster/broker-3/data/broker-3/tmp_storage] stopped | org.apache.activemq.store.kahadb.plist.PListStoreImpl | ActiveMQ ShutdownHook
2017-06-27 07:41:58,484 | INFO  | Stopping async queue tasks | org.apache.activemq.store.kahadb.KahaDBStore | ActiveMQ ShutdownHook
2017-06-27 07:41:58,485 | INFO  | Stopping async topic tasks | org.apache.activemq.store.kahadb.KahaDBStore | ActiveMQ ShutdownHook
2017-06-27 07:41:58,489 | INFO  | Stopped KahaDB | org.apache.activemq.store.kahadb.KahaDBStore | ActiveMQ ShutdownHook
2017-06-27 07:41:58,598 | INFO  | Apache ActiveMQ 5.8.0 (broker-3, ID:ip-172-31-1-69-45145-1498548739706-0:1) uptime 9 minutes | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2017-06-27 07:41:58,598 | INFO  | Apache ActiveMQ 5.8.0 (broker-3, ID:ip-172-31-1-69-45145-1498548739706-0:1) is shutdown | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2017-06-27 07:41:58,598 | INFO  | Closing org.apache.activemq.xbean.XBeanBrokerFactory$1@5e3a8624: startup date [Tue Jun 27 07:32:17 UTC 2017]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | ActiveMQ ShutdownHook
2017-06-27 07:41:58,618 | INFO  | Destroying Spring FrameworkServlet 'dispatcher' | /admin | ActiveMQ ShutdownHook
2017-06-27 07:42:32,302 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@5e3a8624: startup date [Tue Jun 27 07:42:32 UTC 2017]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2017-06-27 07:42:33,704 | INFO  | PListStore:[/home/ubuntu/apache-activemq-5.8.0/cluster/broker-3/data/broker-3/tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2017-06-27 07:42:33,741 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[/home/ubuntu/apache-activemq-5.8.0/cluster/broker-3/data/kahadb] | org.apache.activemq.broker.BrokerService | main
2017-06-27 07:42:34,589 | INFO  | KahaDB is version 4 | org.apache.activemq.store.kahadb.MessageDatabase | main
2017-06-27 07:42:34,608 | INFO  | Recovering from the journal ... | org.apache.activemq.store.kahadb.MessageDatabase | main
2017-06-27 07:42:34,609 | INFO  | Recovery replayed 1 operations from the journal in 0.011 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2017-06-27 07:42:34,767 | INFO  | Apache ActiveMQ 5.8.0 (broker-3, ID:ip-172-31-1-69-37961-1498549354630-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2017-06-27 07:42:34,798 | INFO  | Listening for connections at: tcp://ip-172-31-1-69:61636?maximumConnections=1000&wireformat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2017-06-27 07:42:34,806 | INFO  | Connector openwire Started | org.apache.activemq.broker.TransportConnector | main
2017-06-27 07:42:34,809 | INFO  | Listening for connections at: amqp://ip-172-31-1-69:5692?maximumConnections=1000&wireformat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2017-06-27 07:42:34,810 | INFO  | Connector amqp Started | org.apache.activemq.broker.TransportConnector | main
2017-06-27 07:42:34,811 | INFO  | Apache ActiveMQ 5.8.0 (broker-3, ID:ip-172-31-1-69-37961-1498549354630-0:1) started | org.apache.activemq.broker.BrokerService | main
2017-06-27 07:42:34,811 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2017-06-27 07:42:34,811 | WARN  | Store limit is 102400 mb, whilst the data directory: /home/ubuntu/apache-activemq-5.8.0/cluster/broker-3/data/kahadb only has 6426 mb of usable space | org.apache.activemq.broker.BrokerService | main
2017-06-27 07:42:34,811 | ERROR | Temporary Store limit is 51200 mb, whilst the temporary data directory: /home/ubuntu/apache-activemq-5.8.0/cluster/broker-3/data/broker-3/tmp_storage only has 6426 mb of usable space | org.apache.activemq.broker.BrokerService | main
2017-06-27 07:42:35,578 | INFO  | Web console type: embedded | org.apache.activemq.web.WebConsoleStarter | main
2017-06-27 07:42:35,826 | INFO  | ActiveMQ WebConsole initialized. | org.apache.activemq.web.WebConsoleStarter | main
2017-06-27 07:42:35,922 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2017-06-27 07:42:36,453 | INFO  | jolokia-agent: No access restrictor found at classpath:/jolokia-access.xml, access to all MBeans is allowed | /api | main
2017-06-27 07:43:44,160 | INFO  | Apache ActiveMQ 5.8.0 (broker-3, ID:ip-172-31-1-69-37961-1498549354630-0:1) is shutting down | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2017-06-27 07:43:44,855 | INFO  | Connector openwire Stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2017-06-27 07:43:44,891 | INFO  | Connector amqp Stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2017-06-27 07:43:44,894 | INFO  | PListStore:[/home/ubuntu/apache-activemq-5.8.0/cluster/broker-3/data/broker-3/tmp_storage] stopped | org.apache.activemq.store.kahadb.plist.PListStoreImpl | ActiveMQ ShutdownHook
2017-06-27 07:43:44,894 | INFO  | Stopping async queue tasks | org.apache.activemq.store.kahadb.KahaDBStore | ActiveMQ ShutdownHook
2017-06-27 07:43:44,895 | INFO  | Stopping async topic tasks | org.apache.activemq.store.kahadb.KahaDBStore | ActiveMQ ShutdownHook
2017-06-27 07:43:44,896 | INFO  | Stopped KahaDB | org.apache.activemq.store.kahadb.KahaDBStore | ActiveMQ ShutdownHook
2017-06-27 07:43:45,329 | INFO  | Apache ActiveMQ 5.8.0 (broker-3, ID:ip-172-31-1-69-37961-1498549354630-0:1) uptime 1 minute | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2017-06-27 07:43:45,329 | INFO  | Apache ActiveMQ 5.8.0 (broker-3, ID:ip-172-31-1-69-37961-1498549354630-0:1) is shutdown | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2017-06-27 07:43:45,329 | INFO  | Closing org.apache.activemq.xbean.XBeanBrokerFactory$1@5e3a8624: startup date [Tue Jun 27 07:42:32 UTC 2017]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | ActiveMQ ShutdownHook
2017-06-27 07:43:45,354 | INFO  | Destroying Spring FrameworkServlet 'dispatcher' | /admin | ActiveMQ ShutdownHook
