2017-06-27 07:26:59,636 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@5e3a8624: startup date [Tue Jun 27 07:26:59 UTC 2017]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2017-06-27 07:27:01,050 | INFO  | PListStore:[/home/ubuntu/apache-activemq-5.8.0/cluster/broker-2/data/broker-2/tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2017-06-27 07:27:01,087 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[/home/ubuntu/apache-activemq-5.8.0/cluster/broker-2/data/kahadb] | org.apache.activemq.broker.BrokerService | main
2017-06-27 07:27:01,381 | INFO  | Apache ActiveMQ 5.8.0 (broker-2, ID:ip-172-31-12-187-32915-1498548421234-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2017-06-27 07:27:01,422 | INFO  | Listening for connections at: tcp://ip-172-31-12-187:61626?maximumConnections=1000&wireformat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2017-06-27 07:27:01,423 | INFO  | Connector openwire Started | org.apache.activemq.broker.TransportConnector | main
2017-06-27 07:27:01,427 | INFO  | Listening for connections at: amqp://ip-172-31-12-187:5682?maximumConnections=1000&wireformat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2017-06-27 07:27:01,429 | INFO  | Connector amqp Started | org.apache.activemq.broker.TransportConnector | main
2017-06-27 07:27:01,430 | INFO  | Apache ActiveMQ 5.8.0 (broker-2, ID:ip-172-31-12-187-32915-1498548421234-0:1) started | org.apache.activemq.broker.BrokerService | main
2017-06-27 07:27:01,430 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2017-06-27 07:27:01,431 | WARN  | Store limit is 102400 mb, whilst the data directory: /home/ubuntu/apache-activemq-5.8.0/cluster/broker-2/data/kahadb only has 6425 mb of usable space | org.apache.activemq.broker.BrokerService | main
2017-06-27 07:27:01,431 | ERROR | Temporary Store limit is 51200 mb, whilst the temporary data directory: /home/ubuntu/apache-activemq-5.8.0/cluster/broker-2/data/broker-2/tmp_storage only has 6425 mb of usable space | org.apache.activemq.broker.BrokerService | main
2017-06-27 07:27:02,340 | INFO  | Web console type: embedded | org.apache.activemq.web.WebConsoleStarter | main
2017-06-27 07:27:02,615 | INFO  | ActiveMQ WebConsole initialized. | org.apache.activemq.web.WebConsoleStarter | main
2017-06-27 07:27:02,726 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2017-06-27 07:27:03,284 | INFO  | jolokia-agent: No access restrictor found at classpath:/jolokia-access.xml, access to all MBeans is allowed | /api | main
2017-06-27 07:29:25,063 | INFO  | Apache ActiveMQ 5.8.0 (broker-2, ID:ip-172-31-12-187-32915-1498548421234-0:1) is shutting down | org.apache.activemq.broker.BrokerService | Thread-16
2017-06-27 07:29:25,504 | INFO  | Connector openwire Stopped | org.apache.activemq.broker.TransportConnector | Thread-16
2017-06-27 07:29:27,507 | INFO  | Connector amqp Stopped | org.apache.activemq.broker.TransportConnector | Thread-16
