2017-06-27 06:22:13,737 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@5e3a8624: startup date [Tue Jun 27 06:22:13 UTC 2017]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2017-06-27 06:22:15,207 | INFO  | PListStore:[/home/ubuntu/apache-activemq-5.8.0/cluster/broker-1/data/broker-1/tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2017-06-27 06:22:15,238 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[/home/ubuntu/apache-activemq-5.8.0/cluster/broker-1/data/kahadb] | org.apache.activemq.broker.BrokerService | main
2017-06-27 06:22:15,479 | INFO  | Apache ActiveMQ 5.8.0 (broker-1, ID:ip-172-31-15-45-45471-1498544535346-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2017-06-27 06:22:15,510 | INFO  | Listening for connections at: tcp://ip-172-31-15-45:61616?maximumConnections=1000&wireformat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2017-06-27 06:22:15,512 | INFO  | Connector openwire Started | org.apache.activemq.broker.TransportConnector | main
2017-06-27 06:22:15,515 | INFO  | Listening for connections at: amqp://ip-172-31-15-45:5672?maximumConnections=1000&wireformat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2017-06-27 06:22:15,519 | INFO  | Connector amqp Started | org.apache.activemq.broker.TransportConnector | main
2017-06-27 06:22:15,520 | INFO  | Establishing network connection from vm://broker-1?async=false&network=true to tcp://localhost:61626 | org.apache.activemq.network.DiscoveryNetworkConnector | main
2017-06-27 06:22:15,581 | INFO  | Connector vm://broker-1 Started | org.apache.activemq.broker.TransportConnector | main
2017-06-27 06:22:15,610 | INFO  | broker-1 Shutting down | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[broker-1] Task-1
2017-06-27 06:22:15,627 | INFO  | broker-1 bridge to Unknown stopped | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[broker-1] Task-1
2017-06-27 06:22:15,627 | INFO  | Connector vm://broker-1 Stopped | org.apache.activemq.broker.TransportConnector | main
2017-06-27 06:22:15,627 | WARN  | Could not start network bridge between: vm://broker-1?async=false&network=true and: tcp://localhost:61626 due to: java.net.ConnectException: Connection refused (Connection refused) | org.apache.activemq.network.DiscoveryNetworkConnector | main
2017-06-27 06:22:15,628 | INFO  | Network Connector DiscoveryNetworkConnector:Q:broker1->broker2:BrokerService[broker-1] Started | org.apache.activemq.network.NetworkConnector | main
